freq,prev,p.freq,p.prev,p,contaminant
1.2519233352631097e-5,1,NA,NA,NA,FALSE
2.4007717555022947e-5,14,NA,0.8400261899237264,0.8400261899237264,FALSE
3.1342542789994496e-4,10,NA,0.0911422866492875,0.0911422866492875,TRUE
2.1923233890144045e-5,7,NA,0.7113846259167629,0.7113846259167629,FALSE
1.6640094735673296e-5,27,NA,0.9530920767167166,0.9530920767167166,FALSE
1.5627915841289638e-5,10,NA,0.774681658686002,0.774681658686002,FALSE
3.733348276886141e-5,7,NA,0.7113846259167629,0.7113846259167629,FALSE
3.281667579380462e-5,1,NA,NA,NA,FALSE
1.7902557442459047e-5,33,NA,0.9751836740613624,0.9751836740613624,FALSE
2.7406715340376047e-5,3,NA,0.6030895424276201,0.6030895424276201,FALSE
1.3711784573327245e-5,8,NA,0.7340211258448599,0.7340211258448599,FALSE
1.6916088604801002e-5,10,NA,0.774681658686002,0.774681658686002,FALSE
1.4344235038897653e-5,1,NA,NA,NA,FALSE
1.5610059073838816e-5,16,NA,0.8659659521846943,0.8659659521846943,FALSE
1.5198439837120251e-5,24,NA,0.9366630815763514,0.9366630815763514,FALSE
3.2428859320522815e-4,10,NA,0.35343432492504934,0.35343432492504934,FALSE
1.2362926057339251e-5,1,NA,NA,NA,FALSE
1.3756831638026155e-5,3,NA,0.6030895424276201,0.6030895424276201,FALSE
3.1588364012184907e-5,7,NA,0.7113846259167629,0.7113846259167629,FALSE
1.3712332033455044e-05,1,NA,NA,NA,FALSE
2.4043840795960595e-5,10,NA,0.774681658686002,0.774681658686002,FALSE
1.7583180356925416e-5,1,NA,NA,NA,FALSE
1.9213611016925635e-5,3,NA,0.6030895424276201,0.6030895424276201,FALSE
1.4445081544215919e-5,3,NA,0.6030895424276201,0.6030895424276201,FALSE
1.611901944339543e-5,8,NA,0.7340211258448599,0.7340211258448599,FALSE
1.8649826192123102e-5,2,NA,0.5710159700985389,0.5710159700985389,FALSE
1.0910037069424066e-5,1,NA,NA,NA,FALSE
1.5876917343719834e-5,1,NA,NA,NA,FALSE
6.111049445849078e-5,18,NA,0.8881483051190647,0.8881483051190647,FALSE
1.7078797993887533e-5,11,NA,0.7928892014184463,0.7928892014184463,FALSE
3.559219480116675e-5,1,NA,NA,NA,FALSE
1.398422445047274e-5,3,NA,0.6030895424276201,0.6030895424276201,FALSE
1.9397961181908538e-5,1,NA,NA,NA,FALSE
1.6915062996655428e-5,6,NA,0.687080173362385,0.687080173362385,FALSE
1.5469926252514976e-5,14,NA,0.8400261899237264,0.8400261899237264,FALSE
3.08784215863566e-5,22,NA,0.923095289898452,0.923095289898452,FALSE
1.8115407057437523e-5,19,NA,0.8979814211525535,0.8979814211525535,FALSE
1.9505940352865196e-5,7,NA,0.7113846259167629,0.7113846259167629,FALSE
2.4010360274256434e-5,14,NA,0.8400261899237264,0.8400261899237264,FALSE
1.375818947496561e-5,10,NA,0.774681658686002,0.774681658686002,FALSE
3.0472627522818575e-5,1,NA,NA,NA,FALSE
1.7599481938262998e-5,13,NA,0.8254831162804287,0.8254831162804287,FALSE
2.7065296887188113e-4,9,NA,0.7550887594413066,0.7550887594413066,FALSE
1.8728965930570285e-5,1,NA,NA,NA,FALSE
3.270475218917435e-5,1,NA,NA,NA,FALSE
1.1711261195629685e-5,10,NA,0.774681658686002,0.774681658686002,FALSE
2.609909233566142e-5,5,NA,0.6610035211425838,0.6610035211425838,FALSE
1.452100082121194e-5,1,NA,NA,NA,FALSE
2.897723355958932e-5,5,NA,0.6610035211425838,0.6610035211425838,FALSE
1.863577177830581e-5,10,NA,0.774681658686002,0.774681658686002,FALSE
6.768853530719558e-5,2,NA,0.5710159700985389,0.5710159700985389,FALSE
2.1873349699213396e-5,8,NA,0.7340211258448599,0.7340211258448599,FALSE
1.9662544472049117e-5,1,NA,NA,NA,FALSE
2.8548236166519668e-5,4,NA,0.6330450486594978,0.6330450486594978,FALSE
3.25352966076738e-5,9,NA,0.7550887594413066,0.7550887594413066,FALSE
1.5157656874234645e-5,22,NA,0.923095289898452,0.923095289898452,FALSE
1.5899202206368496e-5,1,NA,NA,NA,FALSE
2.7492177250889727e-5,18,NA,0.8881483051190647,0.8881483051190647,FALSE
0.002477990717817046,14,NA,0.1687571278263491,0.1687571278263491,FALSE
3.1264789549651775e-4,8,NA,0.2869502522649433,0.2869502522649433,FALSE
1.4556653534856089e-5,2,NA,0.5710159700985389,0.5710159700985389,FALSE
1.2194936401373307e-5,9,NA,0.7550887594413066,0.7550887594413066,FALSE
2.5353100157716015e-4,14,NA,0.1687571278263491,0.1687571278263491,FALSE
1.7981522232253775e-5,8,NA,0.7340211258448599,0.7340211258448599,FALSE
1.6235446521771194e-5,6,NA,0.687080173362385,0.687080173362385,FALSE
5.06860051545383e-5,7,NA,0.7113846259167629,0.7113846259167629,FALSE
2.3233223381408388e-5,2,NA,0.5710159700985389,0.5710159700985389,FALSE
1.4988493293444564e-5,4,NA,0.6330450486594978,0.6330450486594978,FALSE
1.2778399111175334e-5,3,NA,0.6030895424276201,0.6030895424276201,FALSE
2.4648756571760738e-5,20,NA,0.9070497392723267,0.9070497392723267,FALSE
1.506289242986939e-5,18,NA,0.8881483051190647,0.8881483051190647,FALSE
1.2394400379083174e-5,19,NA,0.8979814211525535,0.8979814211525535,FALSE
2.4010195118684077e-5,13,NA,0.8254831162804287,0.8254831162804287,FALSE
1.7146760903939054e-5,10,NA,0.774681658686002,0.774681658686002,FALSE
1.835968311794077e-5,4,NA,0.6330450486594978,0.6330450486594978,FALSE
1.3371643546913047e-5,1,NA,NA,NA,FALSE
1.483803613491116e-5,19,NA,0.8979814211525535,0.8979814211525535,FALSE
2.7266590145300926e-5,10,NA,0.774681658686002,0.774681658686002,FALSE
1.8436464188431973e-5,17,NA,0.8774957627494518,0.8774957627494518,FALSE
2.8421585285705787e-5,1,NA,NA,NA,FALSE
2.9482457355864565e-5,4,NA,0.6330450486594978,0.6330450486594978,FALSE
6.200163005135398e-5,12,NA,0.8097962053842874,0.8097962053842874,FALSE
1.5922380240089108e-5,3,NA,0.6030895424276201,0.6030895424276201,FALSE
1.8648180528533615e-5,3,NA,0.6030895424276201,0.6030895424276201,FALSE
1.0888448637656588e-5,1,NA,NA,NA,FALSE
1.825890469352427e-5,7,NA,0.7113846259167629,0.7113846259167629,FALSE
2.8932037913980034e-5,14,NA,0.8400261899237264,0.8400261899237264,FALSE
1.2100345198446523e-5,5,NA,0.6610035211425838,0.6610035211425838,FALSE
1.4121814181993183e-5,5,NA,0.6610035211425838,0.6610035211425838,FALSE
1.3631368891797963e-5,13,NA,0.8254831162804287,0.8254831162804287,FALSE
1.316777738635468e-5,19,NA,0.8979814211525535,0.8979814211525535,FALSE
2.8151769687622226e-5,5,NA,0.6610035211425838,0.6610035211425838,FALSE
1.759808093098431e-5,16,NA,0.8659659521846943,0.8659659521846943,FALSE
2.9248603379188642e-5,1,NA,NA,NA,FALSE
1.2860038524398571e-5,4,NA,0.6330450486594978,0.6330450486594978,FALSE
2.0359135809064294e-5,8,NA,0.7340211258448599,0.7340211258448599,FALSE
1.5077365557092082e-5,8,NA,0.7340211258448599,0.7340211258448599,FALSE
1.6522272940954227e-5,4,NA,0.6330450486594978,0.6330450486594978,FALSE
1.5386650415454746e-5,16,NA,0.8659659521846943,0.8659659521846943,FALSE
1.3985886110062514e-5,2,NA,0.5710159700985389,0.5710159700985389,FALSE
1.043476327775423e-5,1,NA,NA,NA,FALSE
1.3219972352219553e-5,4,NA,0.6330450486594978,0.6330450486594978,FALSE
1.6389062082479736e-5,1,NA,NA,NA,FALSE
7.809008625134907e-6,1,NA,NA,NA,FALSE
1.4926817410542103e-5,9,NA,0.7550887594413066,0.7550887594413066,FALSE
1.341839800921285e-5,6,NA,0.687080173362385,0.687080173362385,FALSE
1.8646932066664824e-5,15,NA,0.8534976686669915,0.8534976686669915,FALSE
1.760848754193515e-5,17,NA,0.8774957627494518,0.8774957627494518,FALSE
1.3328433738616631e-5,3,NA,0.6030895424276201,0.6030895424276201,FALSE
1.621092010332235e-5,1,NA,NA,NA,FALSE
1.6904154558214564e-5,1,NA,NA,NA,FALSE
1.037379638312459e-5,1,NA,NA,NA,FALSE
8.633353335038987e-5,9,NA,0.7550887594413066,0.7550887594413066,FALSE
1.0259798620672675e-5,1,NA,NA,NA,FALSE
3.576398713001121e-5,6,NA,0.687080173362385,0.687080173362385,FALSE
2.0080552385707594e-5,6,NA,0.687080173362385,0.687080173362385,FALSE
1.4662846034200657e-5,4,NA,0.6330450486594978,0.6330450486594978,FALSE
1.778496476345604e-5,13,NA,0.8254831162804287,0.8254831162804287,FALSE
2.2803123390328182e-4,6,NA,0.21770043340596246,0.21770043340596246,FALSE
9.577861771215052e-6,3,NA,0.6030895424276201,0.6030895424276201,FALSE
4.4134688606703466e-5,6,NA,0.687080173362385,0.687080173362385,FALSE
1.1985777308276555e-5,5,NA,0.6610035211425838,0.6610035211425838,FALSE
1.2535904976503364e-5,7,NA,0.7113846259167629,0.7113846259167629,FALSE
1.4185412375632303e-5,9,NA,0.7550887594413066,0.7550887594413066,FALSE
1.1972408890128843e-5,12,NA,0.8097962053842874,0.8097962053842874,FALSE
1.207627768624898e-5,3,NA,0.6030895424276201,0.6030895424276201,FALSE
8.954464387168808e-6,1,NA,NA,NA,FALSE
1.6896550856420864e-5,8,NA,0.7340211258448599,0.7340211258448599,FALSE
1.4431451125315946e-5,27,NA,0.9530920767167166,0.9530920767167166,FALSE
1.3131162315065326e-5,8,NA,0.7340211258448599,0.7340211258448599,FALSE
1.652790801167809e-5,18,NA,0.8881483051190647,0.8881483051190647,FALSE
1.5807026820789526e-5,13,NA,0.8254831162804287,0.8254831162804287,FALSE
4.8778474204153246e-5,23,NA,0.9301669873790541,0.9301669873790541,FALSE
1.2780625898495807e-5,4,NA,0.6330450486594978,0.6330450486594978,FALSE
1.5320210207535405e-5,1,NA,NA,NA,FALSE
3.1632193562238033e-5,4,NA,0.6330450486594978,0.6330450486594978,FALSE
1.6578223770551215e-5,1,NA,NA,NA,FALSE
1.28812725618859e-5,1,NA,NA,NA,FALSE
1.8037173286527892e-5,8,NA,0.7340211258448599,0.7340211258448599,FALSE
1.7053391313427822e-5,14,NA,0.8400261899237264,0.8400261899237264,FALSE
6.598251323437223e-5,6,NA,0.687080173362385,0.687080173362385,FALSE
1.3374878132253418e-5,5,NA,0.6610035211425838,0.6610035211425838,FALSE
1.5814369953930248e-4,12,NA,0.12798875699257947,0.12798875699257947,FALSE
9.609687288339571e-6,1,NA,NA,NA,FALSE
1.2571072791487775e-5,4,NA,0.6330450486594978,0.6330450486594978,FALSE
9.179776079033501e-6,1,NA,NA,NA,FALSE
